piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	viaf	wikidata	originalFormat	transcriber	typesetter	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
01-1	1: 2/2	1: -4	154	152	608.0	308	304	1216.0		1476.0	1679	985	0	0	241	f	2.3.0	Lars & Ya-Chuan (2.2.0), John Heilig (2.3.0)	AN	1793	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 1	1	Allegro	op.2/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 1	1. Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/01-1.mscx	False	32-89 (Ab1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/a78520e0-0211-3b5a-a65d-2dbc22714fff	https://viaf.org/viaf/179625665	https://www.wikidata.org/wiki/Q145813	xml			51-89 (Eb3-F6)	piano	32-73 (Ab1-Db5)	piano
01-2	1: 3/4	1: -1	62	61	183.0	124	122	366.0		526.17	1286	822	0	0	200	F	2.3.0	Lars & Ya-Chuan	Adrian Nagel, Victor Zheng	1793	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 1	2	Adagio	op.2/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 1	2. Adagio		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/01-2.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/bea1b893-2732-33ad-bc47-84eac5c58f00	https://viaf.org/viaf/179625665	https://www.wikidata.org/wiki/Q145813	xml			43-89 (G2-F6)	piano	31-77 (G1-F5)	piano
01-3	1: 3/4	1: -4, 43: -1	77	73	219.0	196	186	558.0		565.5	636	310	0	0	132	f	2.3.0	Daniel Grote (2.2.0), Adrian Nagel (2.3.0)	Adrian Nagel, Victor Zheng	1793	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 1	3	Menuetto and Trio: Allegretto	op.2/1					2017-11-26	3.02	Microsoft Windows	http://musescore.com/score/55335		Sonata no. 1	3. Menuetto and Trio: Allegretto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/01-3.mscx	False	31-85 (G1-Db6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/2bd7e1ea-c696-3be4-a40a-27e2b95e074a	https://viaf.org/viaf/179625665	https://www.wikidata.org/wiki/Q145813	mxl			53-85 (F3-Db6)	Piano	31-74 (G1-D5)	Piano
01-4	1: 2/2	1: -4	199	196	790.0	392	390	1560.0	[[[57, 58], [59, 60, 61]]]	2326.83	3151	1789	0	0	355	f	2.3.0	Daniel Grote (2.2.0), Adrian Nagel (2.3.0)	Adrian Nagel, Victor Zheng	1793	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 1	4	Prestissimo	op.2/1					2017-11-26	3.02	Microsoft Windows			Sonata no. 1	4. Prestissimo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/01-4.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/b755e900-804a-312d-9946-da49e5d1581f	https://viaf.org/viaf/179625665	https://www.wikidata.org/wiki/Q145813	mxl			50-89 (D3-F6)	Piano	31-75 (G1-Eb5)	Piano
02-1	1: 2/4	1: 3, 127: 0, 230: 3	342	336	679.5	672	664	1336.0	[[[115, 116, 117, 118], [119, 120, 121, 122, 123, 124, 125, 126]]]	1695.75	3034	1705	1	0	479	A	2.3.0	Lydia Carlisi (2.2.0), Victor Zheng (2.3.0)	AN, VZ	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 2	1	Allegro vivace	op.2/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 2	1. Allegro vivace		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/02-1.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/c001a2eb-9493-3273-a3df-dea8b543fc92	https://viaf.org/viaf/179221580	https://www.wikidata.org/wiki/Q145699	xml			39-89 (D#2-F6)	piano	31-76 (G1-E5)	piano
02-2	1: 3/4	1: 2	80	80	240.0	80	80	240.0		875.25	1349	591	0	0	244	D	2.3.0	Lydia Carlisi (2.2.0), Victor Zheng (2.3.0)	AN, VZ	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 2	2	Largo appassionato	op.2/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 2	2. Largo appassionato		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/02-2.mscx	False	29-88 (F1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/cd5ab598-756c-3da2-8196-39f0cae57b75	https://viaf.org/viaf/179221580	https://www.wikidata.org/wiki/Q145699	xml			52-88 (E3-E6)	piano	29-69 (F1-A4)	piano
02-3	1: 3/4	1: 3, 47: 0	72	68	204.0	127	120	360.0		522.0	611	343	0	0	124	A	2.3.0	Lydia Carlisi (2.2.0), Victor Zheng (2.3.0)	AN, VZ	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 2	3	Scherzo: Allegretto	op.2/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 2	3. Scherzo: Allegretto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/02-3.mscx	False	33-89 (A1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/a9b9be9f-b037-3035-a48e-42dba309c7cc	https://viaf.org/viaf/179221580	https://www.wikidata.org/wiki/Q145699	xml			55-89 (G3-F6)	piano	33-69 (A1-A4)	piano
02-4	1: 4/4	1: 3, 57: 0, 100: 3	188	187	752.0	197	197	788.0	[[[66], [67]]]	1818.42	3454	2381	0	0	339	A	2.3.0	Lydia Carlisi (2.2.0), Victor Zheng (2.3.0)	AN, VZ	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 2	4	Rondo: Grazioso	op.2/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 2	4. Rondo: Grazioso		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/02-4.mscx	False	31-89 (G1-E#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/616222d2-d59e-31e3-85cc-cc66a9f507d8	https://viaf.org/viaf/179221580	https://www.wikidata.org/wiki/Q145699	xml			45-89 (A2-E#6)	piano	31-81 (G1-A5)	piano
03-1	1: 4/4	1: 0	259	257	1034.0	348	347	1390.0	[[[90], [91]]]	3074.0	4245	2296	0	0	487	e	2.3.0	Lydia Carlisi (2.2.0), John Heilig (2.3.0)	AN	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 3	1	Allegro con brio	op.2/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 3	1. Allegro con brio		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/03-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/072edf91-1e60-3255-bc52-5a1aeb3c7212		https://www.wikidata.org/wiki/Q145699	xml			48-89 (C3-F6)	piano	29-72 (F1-C5)	piano
03-2	1: 2/4	1: 4, 11: 1, 43: 4	82	82	164.0	82	82	164.0		435.25	1448	942	0	0	233	E	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 3	2	Adagio	op.2/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 3	2. Adagio		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/03-2.mscx	False	30-88 (F#1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/4a11b4d2-261d-3425-a452-0971b7a1e692		https://www.wikidata.org/wiki/Q145699	xml			47-88 (B2-E6)	piano	30-88 (F#1-E6)	piano
