mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	2	1		E.I{	E	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	2.0	0	0	4/4	2	1		IV	E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	6	6	2.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	8	8	2.0	0	0	4/4	2	1		viio6	E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
3	3	10	10	2.0	1/2	1/2	4/4	2	1		V43	E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	12	12	4.5	0	0	4/4	2	1		I|IAC}	E	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
5	5	16	16	0.0	0	0	4/4	2	1		{	E	I										{		0	0				
5	5	33/2	33/2	0.5	1/8	1/8	4/4	2	1		viio6	E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	17	17	0.5	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	35/2	35/2	0.5	3/8	3/8	4/4	2	1		IV	E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	18	18	0.5	1/2	1/2	4/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
5	5	37/2	37/2	0.5	5/8	5/8	4/4	2	1		viio6	E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	19	19	0.5	3/4	3/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	39/2	39/2	0.5	7/8	7/8	4/4	2	1		IV	E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	20	20	0.5	0	0	4/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
6	6	41/2	41/2	0.5	1/8	1/8	4/4	2	1		viio6	E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	21	21	0.5	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	1		IV	E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	22	22	0.5	1/2	1/2	4/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1		viio6	E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	23	23	0.5	3/4	3/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1		viio/V	E	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
7	7	24	24	1.0	0	0	4/4	2	1		V	E	I		V		V							M	0	0	1, 5, 2		1	1
7	7	25	25	1.0	1/4	1/4	4/4	2	1		V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	26	26	2.0	1/2	1/2	4/4	2	1		V7	E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	28	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	30	30	2.0	1/2	1/2	4/4	2	1		V7	E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	32	32	1.0	0	0	4/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
9	9	33	33	1.0	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	34	34	1.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	9	35	35	1.0	3/4	3/4	4/4	2	1		V6/V	E	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
10	10	36	36	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	10	38	38	1.0	1/2	1/2	4/4	2	1		V(4)	E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
10	10	39	39	1.0	3/4	3/4	4/4	2	1		V7	E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	40	40	1.0	0	0	4/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
11	11	41	41	1.0	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	42	42	1.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	43	43	1.0	3/4	3/4	4/4	2	1		V6/V	E	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
12	12	44	44	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	12	46	46	1.0	1/2	1/2	4/4	2	1		V(4)	E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
12	12	47	47	1.0	3/4	3/4	4/4	2	1		V7	E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	48	48	4.0	0	0	4/4	2	1		I[I|IAC}{	E	I	I	I		I					IAC	}{	M	0	0	0, 4, 1		0	0
14	14	52	52	2.0	0	0	4/4	2	1		IV	E	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
14	14	54	54	2.0	1/2	1/2	4/4	2	1		V6/V	E	I	I	V6/V		V		6		V			M	0	0	6, 3, 2		2	6
15	15	56	56	2.0	0	0	4/4	2	1		I]	E	I	I	I		I							M	0	0	0, 4, 1		0	0
15	15	58	58	2.0	1/2	1/2	4/4	2	1		iv6	E	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
16	16	60	60	2.0	0	0	4/4	2	1		V.viio6	E	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
16	16	62	62	2.0	1/2	1/2	4/4	2	1		viio7/V	E	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
17	17	64	64	2.0	0	0	4/4	2	1		V[V	E	V	V	V		V							M	0	0	1, 5, 2		1	1
17	17	66	66	2.0	1/2	1/2	4/4	2	1		viio43/V	E	V	V	viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
18	18	68	68	2.0	0	0	4/4	2	1		V	E	V	V	V		V							M	0	0	1, 5, 2		1	1
18	18	70	70	2.0	1/2	1/2	4/4	2	1		viio2/V	E	V	V	viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
19	19	72	72	2.0	0	0	4/4	2	1		V	E	V	V	V		V							M	0	0	1, 5, 2		1	1
19	19	74	74	2.0	1/2	1/2	4/4	2	1		viio43/V	E	V	V	viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
20	20	76	76	2.0	0	0	4/4	2	1		V	E	V	V	V		V							M	0	0	1, 5, 2		1	1
20	20	78	78	2.0	1/2	1/2	4/4	2	1		viio43/V	E	V	V	viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
21	21	80	80	8.0	0	0	4/4	2	1		V]|HC}	E	V	V	V		V					HC	}	M	0	0	1, 5, 2		1	1
22	22	86	86	0.0	1/2	1/2	4/4	2	1		{	E	V										{		0	0				
23	23	88	88	8.0	0	0	4/4	2	1		I	E	V		I		I							M	0	0	0, 4, 1		0	0
25	25	96	96	4.0	0	0	4/4	2	1		V65/ii	E	V		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
26	26	100	100	1.0	0	0	4/4	2	1		ii(11)	E	V		ii(11)		ii			11				m	0	0	2, -1, 3	1	2	2
26	26	101	101	3.0	1/4	1/4	4/4	2	1		ii	E	V		ii		ii							m	0	0	2, -1, 3		2	2
