mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.75	0	0	2/4	2	1		F#.I[I{	F#	I	I	I		I						{	M	0	0	0, 4, 1		0	0
1	1	7/4	7/4	1.25	7/16	7/16	2/4	2	1		viio64	F#	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
2	2	3	3	0.5	1/4	1/4	2/4	2	1		I	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1		V7/IV	F#	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
3	3	4	4	1.0	0	0	2/4	2	1		IV6	F#	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
3	3	5	5	0.75	1/4	1/4	2/4	2	1		vii%7	F#	I	I	vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
3	3	23/4	23/4	0.25	7/16	7/16	2/4	2	1		V6	F#	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
4	4	6	6	1.0	0	0	2/4	2	1		I]}	F#	I	I	I		I						}	M	0	0	0, 4, 1		0	0
5	4	7	7	1.0	0	3/4	4/4	2	1		I6{	F#	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
6	5	8	8	2.0	0	0	4/4	2	1		I[I	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
6	5	10	10	1.0	1/2	1/2	4/4	2	1		V2	F#	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	5	11	11	1.0	3/4	3/4	4/4	2	1		I]	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
7	6	12	12	3.0	0	0	4/4	2	1		V7	F#	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	15	15	1.0	3/4	3/4	4/4	2	1		V	F#	I		V		V							M	0	0	1, 5, 2		1	1
8	7	16	16	1.0	0	0	4/4	2	1		I[I	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
8	7	17	17	1.0	1/4	1/4	4/4	2	1		IV	F#	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	18	18	1.0	1/2	1/2	4/4	2	1		I	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
8	7	19	19	1.0	3/4	3/4	4/4	2	1		IV6	F#	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
9	8	20	20	1.0	0	0	4/4	2	1		V	F#	I	I	V		V							M	0	0	1, 5, 2		1	1
9	8	21	21	1.0	1/4	1/4	4/4	2	1		IV	F#	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
9	8	22	22	2.0	1/2	1/2	4/4	2	1		I]	F#	I	I	I		I							M	0	0	0, 4, 1		0	0
10	9	24	24	1.0	0	0	4/4	2	1		V43	F#	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	9	25	25	1.0	1/4	1/4	4/4	2	1		V7	F#	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	26	26	1.0	1/2	1/2	4/4	2	1		V	F#	I		V		V							M	0	0	1, 5, 2		1	1
