mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1		E.I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1		I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	2	2	0.5	1/2	1/2	3/4	2	1		IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1		ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	3	3	1.0	0	0	3/4	2	1		V		E	I		V		V							M	0	0	1, 5, 2		1	1
2	2	4	4	1.0	1/4	1/4	3/4	2	1		V65(^2)		E	I		V65(^2)		V		65	^2				Mm7	0	0	3, 2, -1, 1		1	3
2	2	5	5	1.0	1/2	1/2	3/4	2	1		V65		E	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	6	6	1.0	0	0	3/4	2	1		I		E	I		I		I							M	0	0	0, 4, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	2	1		I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	8	8	0.5	1/2	1/2	3/4	2	1		viio/V		E	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1		V6/V		E	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
4	4	9	9	1.0	0	0	3/4	2	1		V		E	I		V		V							M	0	0	1, 5, 2		1	1
4	4	10	10	1.0	1/4	1/4	3/4	2	1		V7/V		E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	4	11	11	0.5	1/2	1/2	3/4	2	1		V|HC}		E	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
4	4	23/2	23/2	0.5	5/8	5/8	3/4	2	1		V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	12	12	2.0	0	0	3/4	2	1		I6{		E	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
5	5	14	14	0.5	1/2	1/2	3/4	2	1		IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1		ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	15	15	1.0	0	0	3/4	2	1		V		E	I		V		V							M	0	0	1, 5, 2		1	1
6	6	16	16	1.0	1/4	1/4	3/4	2	1		vi7		E	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	6	17	17	1.0	1/2	1/2	3/4	2	1		viio		E	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	7	18	18	1.0	0	0	3/4	2	1		I		E	I		I		I							M	0	0	0, 4, 1		0	0
7	7	19	19	1.0	1/4	1/4	3/4	2	1		vi		E	I		vi		vi							m	0	0	3, 0, 4		3	3
7	7	20	20	1.0	1/2	1/2	3/4	2	1		It6		E	I		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
8	8	21	21	2.0	0	0	3/4	2	1		Ger6		E	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
8	8	23	23	2.0	1/2	1/2	3/4	2	1		V|HC}		E	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
9	9	24	24	0.0	0	0	3/4	2	1		{		E	I										{		0	0				
9	9	25	25	1.0	1/4	1/4	3/4	2	1		V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5
9	9	26	26	0.5	1/2	1/2	3/4	2	1		#viio/ii		E	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
9	9	53/2	53/2	0.5	5/8	5/8	3/4	2	1		V65/ii		E	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
10	10	27	27	1.0	0	0	3/4	2	1		ii(4)		E	I		ii(4)		ii			4				m	0	0	2, 1, 3		2	2
10	10	28	28	1.0	1/4	1/4	3/4	2	1		vi7(6)		E	I		vi7(6)		vi		7	6				mm7	0	0	3, 0, -1, 1		3	3
10	10	29	29	0.5	1/2	1/2	3/4	2	1		V65		E	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	59/2	59/2	0.5	5/8	5/8	3/4	2	1		V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5
11	11	30	30	1.0	0	0	3/4	2	1		I(4)		E	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
11	11	31	31	1.0	1/4	1/4	3/4	2	1		I64		E	I		I64		I		64					M	0	0	1, 0, 4		0	1
11	11	32	32	1.0	1/2	1/2	3/4	2	1		iv/iii		E	I		iv/iii		iv				iii			m	0	0	3, 0, 4		3	3
12	12	33	33	1.0	0	0	3/4	2	1		V(64)/iii		E	I		V(64)/iii		V			64	iii			M	0	0	5, 4, 1		5	5
12	12	34	34	1.0	1/4	1/4	3/4	2	1		V7/iii		E	I		V7/iii		V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
12	12	35	35	1.0	1/2	1/2	3/4	2	1		i/iii|PAC}		E	I		i/iii		i				iii	PAC	}	m	0	0	4, 1, 5		4	4
13	13	36	36	2.0	0	0	3/4	2	1		ii{		E	I		ii		ii						{	m	0	0	2, -1, 3		2	2
13	13	38	38	1.0	1/2	1/2	3/4	2	1		ii2		E	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
14	14	39	39	1.5	0	0	3/4	2	1		V65(9)		E	I		V65(9)		V		65	9				Mm7	0	0	5, 2, -1, 1	3	1	5
14	14	81/2	81/2	1.0	3/8	3/8	3/4	2	1		V65		E	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	14	83/2	83/2	0.5	5/8	5/8	3/4	2	1		I		E	I		I		I							M	0	0	0, 4, 1		0	0
15	15	42	42	2.0	0	0	3/4	2	1		V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	15	44	44	0.5	1/2	1/2	3/4	2	1		V		E	I		V		V							M	0	0	1, 5, 2		1	1
15	15	89/2	89/2	0.5	5/8	5/8	3/4	2	1		V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	45	45	1.0	0	0	3/4	2	1		I(974)|PAC		E	I		I(974)		I			974		PAC		M	0	0	0, -1, 1	2, 5	0	0
16	16	46	46	1.0	1/4	1/4	3/4	2	1		V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
