mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-4	3/4	3/4	0	firstMeasure					2
2	2	-4	3/4	3/4	0						3
3	3	-4	3/4	3/4	0						4
4	4	-4	3/4	3/4	0						5
5	5	-4	3/4	3/4	0						6
6	6	-4	3/4	3/4	0						7
7	7	-4	3/4	3/4	0						8
8	8	-4	3/4	3/4	0						9
9	9	-4	3/4	3/4	0						10
10	10	-4	3/4	3/4	0						11
11	11	-4	3/4	3/4	0						12
12	12	-4	3/4	3/4	0						13
13	13	-4	3/4	3/4	0						14
14	14	-4	3/4	3/4	0						15
15	15	-4	3/4	3/4	0						16
16	16	-4	3/4	3/4	0						17
17	17	-4	3/4	3/4	0						18
18	18	-4	3/4	3/4	0						19
19	19	-4	3/4	3/4	0						20
20	20	-4	3/4	3/4	0						21
21	21	-4	3/4	3/4	0						22
22	22	-4	3/4	3/4	0						23
23	23	-4	3/4	3/4	0						24
24	24	-4	3/4	3/4	0						25
25	25	-4	3/4	3/4	0						26
26	26	-4	3/4	55/32	0	lastMeasure					-1
