mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-4	2/4	1/2	0	firstMeasure					2
2	2	-4	2/4	1/2	0						3
3	3	-4	2/4	1/2	0						4
4	4	-4	2/4	1/2	0						5
5	5	-4	2/4	1/2	0						6
6	6	-4	2/4	1/2	0						7
7	7	-4	2/4	1/2	0						8
8	8	-4	2/4	1/2	0						9
9	9	-4	2/4	1/2	0						10
10	10	-4	2/4	1/2	0						11
11	11	-4	2/4	1/2	0						12
12	12	-4	2/4	1/2	0						13
13	13	-4	2/4	1/2	0						14
14	14	-4	2/4	1/2	0						15
15	15	-4	2/4	1/2	0						16
16	16	-4	2/4	1/2	0						17
17	17	-4	2/4	1/2	0						18
18	18	-4	2/4	1/2	0						19
19	19	-4	2/4	1/2	0						20
20	20	-4	2/4	1/2	0						21
21	21	-4	2/4	1/2	0						22
22	22	-4	2/4	1/2	0						23
23	23	-4	2/4	1/2	0						24
24	24	-4	2/4	1/2	0						25
25	25	-4	2/4	1/2	0						26
26	26	-4	2/4	1/2	0						27
27	27	-4	2/4	1/2	0						28
28	28	-4	2/4	1/2	0						29
29	29	-4	2/4	1/2	0						30
30	30	-4	2/4	1/2	0						31
31	31	-4	2/4	1/2	0						32
32	32	-4	2/4	1/2	0						33
33	33	-4	2/4	1/2	0						34
34	34	-4	2/4	1/2	0						35
35	35	-4	2/4	1/2	0						36
36	36	-4	2/4	1/2	0						37
37	37	-4	2/4	1/2	0						38
38	38	-4	2/4	1/2	0						39
39	39	-4	2/4	1/2	0						40
40	40	-4	2/4	1/2	0						41
41	41	-4	2/4	1/2	0						42
42	42	-4	2/4	1/2	0						43
43	43	-4	2/4	1/2	0						44
44	44	-4	2/4	1/2	0						45
45	45	-4	2/4	1/2	0						46
46	46	-4	2/4	1/2	0						47
47	47	-4	2/4	1/2	0						48
48	48	-4	2/4	1/2	0						49
49	49	-4	2/4	1/2	0						50
50	50	-4	2/4	1/2	0						51
51	51	-4	2/4	1/2	0						52
52	52	-4	2/4	1/2	0						53
53	53	-4	2/4	1/2	0						54
54	54	-4	2/4	1/2	0						55
55	55	-4	2/4	1/2	0						56
56	56	-4	2/4	1/2	0						57
57	57	-4	2/4	1/2	0						58
58	58	-4	2/4	1/2	0						59
59	59	-4	2/4	1/2	0						60
60	60	-4	2/4	1/2	0						61
61	61	-4	2/4	1/2	0						62
62	62	-4	2/4	1/2	0						63
63	63	-4	2/4	1/2	0						64
64	64	-4	2/4	1/2	0						65
65	65	-4	2/4	1/2	0						66
66	66	-4	2/4	1/2	0						67
67	67	-4	2/4	1/2	0						68
68	68	-4	2/4	1/2	0						69
69	69	-4	2/4	1/2	0						70
70	70	-4	2/4	1/2	0						71
71	71	-4	2/4	1/2	0						72
72	72	-4	2/4	1/2	0						73
73	73	-4	2/4	1/2	0						74
74	74	-4	2/4	1/2	0						75
75	75	-4	2/4	1/2	0						76
76	76	-4	2/4	1/2	0						77
77	77	-4	2/4	1/2	0						78
78	78	-4	2/4	1/2	0						79
79	79	-4	2/4	1/2	0						80
80	80	-4	2/4	1/2	0						81
81	81	-4	2/4	1/2	0						82
82	82	-4	2/4	1/2	0						83
83	83	-4	2/4	1/2	0						84
84	84	-4	2/4	1/2	0						85
85	85	-4	2/4	1/2	0						86
86	86	-4	2/4	1/2	0						87
87	87	-4	2/4	1/2	0						88
88	88	-4	2/4	1/2	0						89
89	89	-4	2/4	1/2	0						90
90	90	-4	2/4	1/2	0						91
91	91	-4	2/4	1/2	0						92
92	92	-4	2/4	1/2	0						93
93	93	-4	2/4	1/2	0						94
94	94	-4	2/4	1/2	0						95
95	95	-4	2/4	1/2	0						96
96	96	-4	2/4	1/2	0						97
97	97	-4	2/4	1/2	0						98
98	98	-4	2/4	1/2	0						99
99	99	-4	2/4	1/2	0						100
100	100	-4	2/4	1/2	0						101
101	101	-4	2/4	1/2	0						102
102	102	-4	2/4	1/2	0						103
103	103	-4	2/4	1/2	0						104
104	104	-4	2/4	1/2	0						105
105	105	-4	2/4	1/2	0						106
106	106	-4	2/4	1/2	0						107
107	107	-4	2/4	1/2	0						108
108	108	-4	2/4	1/2	0						109
109	109	-4	2/4	1/2	0						110
110	110	-4	2/4	1/2	0						111
111	111	-4	2/4	1/2	0						112
112	112	-4	2/4	1/2	0	lastMeasure					-1
